iteration,action list,network estimate list,action chosen
50,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
51,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
52,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
53,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
54,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
55,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
56,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
57,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
58,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
59,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.26949837803840637, -0.2692411541938782, -0.26693665981292725, -0.27065712213516235, -0.2695055305957794, -0.2682025134563446]","[1, 0, 0, 1]"
