Rewards,[44.75014742 17.26701046 41.24022703  3.04313466  6.27517732 30.15755115]
Penalties,[26.96105075 21.521564   17.43498461 31.50345218 22.46892988 37.05822321]
defenderID,attackerID,Value(Defender payoff)
8,16,-90.93586868002316
9,16,-91.03060526802905
10,16,-23.814830910837482
11,16,-30.44167175855076
12,16,-91.03060526802905
13,16,-23.814830910837482
14,16,-20.619911137822502
15,16,-77.39764692632825
16,16,-23.62535773482573
17,16,-90.93586868002316
18,16,-10.181542274885942
19,16,-23.720094322831606
0,17,-70.32603454168114
1,17,-70.32603454168114
2,17,-70.32603454168114
3,17,-65.12997000477561
4,17,-70.32603454168114
5,17,-65.15812302714295
6,17,-70.32603454168114
7,17,-75.49394605621931
8,17,-75.49394605621931
9,17,-77.0476119774003
10,17,-75.49394605621931
11,17,-70.32603454168114
12,17,-77.0476119774003
13,17,-75.49394605621931
14,17,-66.87137585786657
15,17,-77.0476119774003
16,17,-75.49394605621931
17,17,-77.0476119774003
18,17,-70.32603454168114
19,17,-63.416717174051996
0,18,-65.15812302714295
1,18,-65.15812302714295
2,18,-59.990211512604766
3,18,-61.67531132096104
4,18,-59.990211512604766
5,18,-65.15812302714295
6,18,-59.990211512604766
7,18,-65.15812302714295
8,18,-83.26227566212418
9,18,-74.98703230522405
10,18,-59.990211512604766
11,18,-59.990211512604766
12,18,-81.70860974094322
13,18,-49.65438848352839
14,18,-56.535552828790195
15,18,-78.60127789858126
16,18,-51.36764131425201
17,18,-80.15494381976222
18,18,-65.15812302714295
19,18,-54.82229999806658
0,19,-23.81483091083748
1,19,-34.150653939913845
2,19,-28.98274242537566
3,19,-18.590613351564627
4,19,-34.150653939913845
5,19,-34.150653939913845
6,19,-46.04014289017118
7,19,-49.65438848352839
8,19,-89.47693934684807
9,19,-89.47693934684807
10,19,-28.98274242537566
11,19,-35.704319861094824
12,19,-86.36960750448614
13,19,-39.31856545445203
14,19,-34.150653939913845
15,19,-84.81594158330515
16,19,-25.528083741561097
17,19,-87.9232734256671
18,19,-28.982742425375665
19,19,-27.241336572284713
20,0,-45.618971695714706
20,1,-2.1587847590399036
20,2,-43.28491481511446
20,3,-7.591308126124254
20,4,-7.591308126124254
20,5,-56.484018429883406
20,6,-2.1587847590399036
20,7,-40.18644832863036
20,8,-23.888878227377308
20,9,-56.484018429883406
20,10,-52.510424395974155
20,11,-56.484018429883406
20,12,-56.484018429883406
20,13,-18.456354860292958
20,14,-18.456354860292958
20,15,-54.488513060183855
20,16,-52.510424395974155
20,17,-2.1587847590399036
20,18,-13.023831493208604
20,19,-51.051495062799056
0,20,-71.40736667133638
1,20,-71.40736667133638
2,20,-71.40736667133638
3,20,-61.04339061989267
4,20,-71.40736667133638
5,20,-71.40736667133638
6,20,-71.40736667133638
7,20,-71.40736667133638
8,20,-12.732155027109485
9,20,-12.732155027109485
10,20,-71.40736667133638
11,20,-71.40736667133638
12,20,-12.732155027109485
13,20,-71.40736667133638
14,20,-71.40736667133638
15,20,-12.732155027109485
16,20,-71.40736667133638
17,20,-12.732155027109485
18,20,-71.40736667133638
19,20,-71.40736667133638
20,20,-36.86077983319072
21,0,-0.2386352291784032
21,1,-46.74983886002206
21,2,-27.76300310413369
21,3,-31.246104316407507
21,4,-36.414015830945694
21,5,-23.814830910837482
21,6,-46.74983886002206
21,7,-0.2386352291784032
21,8,-18.61678049241268
21,9,-15.191598751978304
21,10,-23.720094322831606
21,11,-8.861867388037581
21,12,4.929276285359779
21,13,-20.910281287331138
21,14,-26.078192801869324
21,15,-12.127714856346824
21,16,-23.814830910837482
21,17,-46.34118092153377
21,18,-26.078192801869324
21,19,-0.2386352291784032
21,20,-42.66325947513913
0,21,-71.40736667133639
1,21,-71.40736667133639
2,21,-71.40736667133639
3,21,-57.58873193607811
4,21,-71.40736667133639
5,21,-71.40736667133639
6,21,-71.40736667133639
7,21,-71.40736667133639
8,21,-12.732155027109487
9,21,-12.732155027109487
10,21,-71.40736667133639
11,21,-59.672324342491
12,21,-12.732155027109487
13,21,-71.40736667133639
14,21,-64.49804930370725
15,21,-18.599676191532176
16,21,-67.95270798752182
17,21,-12.732155027109487
18,21,-71.40736667133639
19,21,-67.95270798752182
20,21,-36.86077983319072
21,21,-42.66325947513913
22,0,-56.484018429883406
22,1,-40.94735921807364
22,2,-2.6140200021184015
22,3,-42.50102513925462
22,4,-42.50102513925462
22,5,-56.484018429883406
22,6,-42.50102513925462
22,7,-54.930352508702434
22,8,-48.715688823978525
22,9,-56.484018429883406
22,10,-56.484018429883406
22,11,-54.930352508702434
22,12,-54.930352508702434
22,13,-45.60835698161657
22,14,-47.162022902797545
22,15,-55.79115072737748
22,16,-56.484018429883406
22,17,-40.94735921807364
22,18,-40.94735921807364
22,19,-53.376686587521455
22,20,-36.86077983319072
22,21,-36.86077983319072
0,22,-4.188289371637474
1,22,-4.188289371637474
2,22,-4.188289371637474
3,22,-37.11283467003328
4,22,-4.188289371637474
5,22,-4.188289371637474
6,22,-4.188289371637474
7,22,-4.188289371637474
8,22,-4.188289371637474
9,22,-4.188289371637474
10,22,-4.188289371637474
11,22,-4.188289371637474
12,22,-4.188289371637474
13,22,-4.188289371637474
14,22,-7.904750504604141
15,22,-4.188289371637474
16,22,-4.188289371637474
17,22,-4.188289371637474
18,22,-4.188289371637474
19,22,-11.62121163757081
20,22,-41.35290070130415
21,22,-75.89948753944981
22,22,30.358297466508194
23,0,-27.73991123368615
23,1,-12.203252021876386
23,2,-51.00527087870363
23,3,-13.75691794305736
23,4,-13.75691794305736
23,5,-27.73991123368615
23,6,-12.203252021876386
23,7,-26.18624531250517
23,8,-16.86424978541931
23,9,-27.73991123368615
23,10,-27.73991123368615
23,11,-28.96591944411902
23,12,-27.73991123368615
23,13,-18.41791570660029
23,14,-19.971581627781266
23,15,-43.54352951333441
23,16,-37.29786685554563
23,17,-27.57555267831563
23,18,-15.310583864238335
23,19,-23.078913470143217
23,20,-8.11667263699346
23,21,-42.66325947513913
23,22,-41.35290070130415
0,23,-71.40736667133638
1,23,-71.40736667133638
2,23,-71.40736667133638
3,23,-67.9527079875218
4,23,-71.40736667133638
5,23,-71.40736667133638
6,23,-71.40736667133638
7,23,-71.40736667133638
8,23,-12.732155027109487
9,23,-12.732155027109487
10,23,-71.40736667133638
11,23,-65.53984550691368
12,23,-12.732155027109487
13,23,-71.40736667133638
14,23,-71.40736667133638
15,23,-18.599676191532176
16,23,-67.9527079875218
17,23,-12.732155027109487
18,23,-71.40736667133638
19,23,-64.49804930370723
20,23,-36.86077983319072
21,23,-42.66325947513913
22,23,-36.86077983319072
23,23,-8.11667263699346
24,0,-54.930352508702434
24,1,-40.94735921807364
24,2,-59.084554362745585
24,3,-45.60835698161657
24,4,-45.60835698161657
24,5,-56.484018429883406
24,6,-40.94735921807364
24,7,-53.376686587521455
24,8,-48.715688823978525
24,9,-56.484018429883406
24,10,-56.484018429883406
24,11,-56.105072077859894
24,12,-56.484018429883406
24,13,-45.60835698161657
24,14,-50.269354745159504
24,15,-46.097201891374574
24,16,-58.28086677712879
24,17,-40.94735921807364
24,18,-45.60835698161657
24,19,-56.484018429883406
24,20,-36.86077983319072
24,21,-36.86077983319072
24,22,-41.35290070130415
24,23,-36.86077983319072
0,24,-70.46000079127761
1,24,-70.46000079127761
2,24,-70.46000079127761
3,24,-60.09602473983391
4,24,-70.46000079127761
5,24,-70.46000079127761
6,24,-64.59247962685491
7,24,-70.46000079127761
8,24,-11.784789147050716
9,24,-11.784789147050716
10,24,-70.46000079127761
11,24,-70.46000079127761
12,24,-11.784789147050716
13,24,-70.46000079127761
14,24,-70.46000079127761
15,24,-17.65231031147341
16,24,-70.46000079127761
17,24,-11.784789147050716
18,24,-70.46000079127761
19,24,-63.550683423648465
