Rewards,[44.75014742 17.26701046 41.24022703  3.04313466]
Penalties,[ 6.27517732 30.15755115 26.96105075 21.521564  ]
defenderID,attackerID,Value(Defender payoff)
7,14,-22.694208842415836
8,14,-27.796741316138487
9,14,23.228583421088018
10,14,-3.232042656325184
11,14,23.228583421088018
12,14,-3.232042656325184
13,14,-27.79674131613849
14,14,-3.232042656325184
15,0,-15.684485012543451
15,1,-27.114416485568533
15,2,-27.114416485568533
15,3,-8.606142938056134
15,4,-27.114416485568533
15,5,-27.114416485568533
15,6,-8.82652612872841
15,7,-27.114416485568533
15,8,-27.114416485568533
15,9,-27.114416485568533
15,10,-3.232042656325184
15,11,-3.232042656325184
15,12,-3.232042656325184
15,13,-3.232042656325184
15,14,-3.232042656325184
0,15,-22.694208842415836
1,15,-27.796741316138487
2,15,23.228583421088018
3,15,23.228583421088018
4,15,-27.796741316138487
5,15,-27.796741316138487
6,15,-2.284078947525237
7,15,-22.694208842415836
8,15,-27.796741316138487
9,15,23.228583421088018
10,15,-3.232042656325184
11,15,23.228583421088018
12,15,-3.232042656325184
13,15,-27.79674131613849
14,15,-3.232042656325184
15,15,-3.232042656325184
16,0,3.114856058425612
16,1,20.310145120294923
16,2,20.310145120294923
16,3,-5.605724397257587
16,4,20.310145120294923
16,5,20.310145120294923
16,6,0.6583861924442814
16,7,20.310145120294923
16,8,20.310145120294923
16,9,20.310145120294923
16,10,-3.232042656325184
16,11,-3.232042656325184
16,12,-3.232042656325184
16,13,-3.232042656325184
16,14,-3.232042656325184
16,15,-3.232042656325184
0,16,19.718663030557703
1,16,19.718663030557703
2,16,19.718663030557703
3,16,19.718663030557703
4,16,19.718663030557703
5,16,19.718663030557703
6,16,19.718663030557703
7,16,19.718663030557703
8,16,19.718663030557703
9,16,19.718663030557703
10,16,-23.917916086911013
11,16,-48.48261474672432
12,16,44.28336169037101
13,16,19.7186630305577
14,16,-23.917916086911013
15,16,-23.917916086911013
16,16,-23.917916086911013
17,0,-4.254553539518381
17,1,-4.254553539518381
17,2,-4.254553539518381
17,3,-9.150091612873357
17,4,-4.254553539518381
17,5,-4.254553539518381
17,6,-4.254553539518381
17,7,-4.254553539518381
17,8,-4.254553539518381
17,9,-4.254553539518381
17,10,23.228583421088018
17,11,23.228583421088018
17,12,23.228583421088018
17,13,23.228583421088018
17,14,23.228583421088018
17,15,23.228583421088018
17,16,-48.48261474672432
0,17,34.965049712971336
1,17,34.965049712971336
2,17,34.965049712971336
3,17,34.965049712971336
4,17,34.965049712971336
5,17,34.965049712971336
6,17,34.965049712971336
7,17,34.965049712971336
8,17,34.965049712971336
9,17,75.78530950275253
10,17,-33.23622806431069
11,17,17.78909667291582
12,17,34.965049712971336
13,17,34.965049712971336
14,17,17.78909667291582
15,17,-33.23622806431069
16,17,-33.23622806431069
17,17,17.78909667291582
18,0,-4.254553539518381
18,1,-4.254553539518381
18,2,-4.254553539518381
