iteration,action list,network estimate list,action chosen
63,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
64,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
65,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
66,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
67,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
68,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
69,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7326126098632812, -0.743350088596344, -0.7294423580169678, -0.7254811525344849]","[0, 0, 0, 1]"
70,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
71,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
72,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
73,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
74,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
75,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
76,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
77,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
78,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
79,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
80,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471457719802856, -0.7353455424308777, -0.7334026098251343, -0.741549551486969, -0.7425137758255005, -0.7283178567886353]","[0, 0, 1, 1]"
81,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7349470853805542, -0.7448996305465698, -0.7321863174438477, -0.7308404445648193]","[0, 0, 0, 1]"
