Defender Mixed Utility,Attacker Mixed Utility,Defender Oracle Utility (Avg. Over Training),Attacker Oracle Utility (Avg. over training),Avg. Defender Oracle Utility vs Mixed,Defender Oracle Correctness vs perfect play,Avg Score of Best Defender Pure Strategy,Avg. Attacker Oracle Utility vs Mixed,Attacker Oracle Correctness vs perfect play,Avg Score of Best Attacker Pure Strategy,,,,Attacker Oracle Correctness vs perfect play,Defender Utility during attacker Oracle,,,,100
-29.14504241,29.14504241,-15.12313967,2.703986041,-27.68025618,0.31,-25.86292864,21.55445831,16.6666667,31.24088228,,,,0.166666667,-21.55445831,,,,
-29.14504241,29.14504241,-13.41615034,-16.34770756,-30.72008674,0.29,-25.8339444,32.06297022,2.3333333,33.45745164,,,,0.023333333,-32.06297022,,,,
-29.14504241,29.14504241,-9.829567976,-6.523040723,-28.41214867,0.31,-26.12401436,25.15954975,0,35.50324621,,,,0,-25.15954975,,,,
-29.14504241,29.14504241,-10.91394072,-5.333827452,-37.75433594,0.373333333,-28.04725089,22.52639883,18,32.68673233,,,,0.18,-22.52639883,,,,
-29.14504241,29.14504241,-9.321033624,-16.34779893,-31.32941194,0.363333333,-26.49483247,17.66669623,13.6666667,34.57564892,,,,0.136666667,-17.66669623,,,,
-29.14504241,29.14504241,-7.048448876,-16.35601405,-28.80210024,0.283333333,-25.95700088,19.93455744,15.3333333,37.79183163,,,,0.153333333,-19.93455744,,,,
-29.14504241,29.14504241,-6.31758983,-7.128515606,-35.22790417,0.32,-25.98290542,29.41593281,0.3333333,32.14296365,,,,0.003333333,-29.41593281,,,,
-29.14504241,29.14504241,-11.3655254,-15.43331939,-30.67087971,0.333333333,-26.30250627,20.90649797,17,36.09787761,,,,0.17,-20.90649797,,,,
-29.14504241,29.14504241,-15.18762182,-14.46173034,-26.16748217,0.31,-25.03989889,19.2865971,15,35.40432033,,,,0.15,-19.2865971,,,,
-29.14504241,29.14504241,-18.57572925,-16.25857975,-27.45206805,0.306666667,-26.40456262,23.82231953,20.3333333,34.52231997,,,,0.203333333,-23.82231953,,,,
-29.14504241,29.14504241,-13.35694916,-16.35682859,-36.80922626,0.266666667,-26.29725624,29.40222711,0.6666667,31.88010225,,,,0.006666667,-29.40222711,,,,
-29.14504241,29.14504241,-18.49393793,-6.155339488,-42.76926639,0.323333333,-26.61651148,30.19127526,0.6666667,32.91830611,,,,0.006666667,-30.19127526,,,,
-29.14504241,29.14504241,-10.47847468,-5.550576153,-42.14395602,0.333333333,-25.81770512,22.20241866,18.3333333,33.80512616,,,,0.183333333,-22.20241866,,,,
-29.14504241,29.14504241,-6.043115929,-15.34489301,-29.25015118,0.436666667,-27.04265454,19.2865971,13.6666667,35.99418984,,,,0.136666667,-19.2865971,,,,
-29.14504241,29.14504241,-6.688493414,-15.43491629,-39.0064949,0.343333333,-26.76203564,29.36260386,1,34.14241437,,,,0.01,-29.36260386,,,,
-29.14504241,29.14504241,-15.5270353,12.51823589,-27.60737482,0.52,-25.18017302,29.42889159,1.3333333,36.37701561,,,,0.013333333,-29.42889159,,,,
-29.14504241,29.14504241,-8.30663913,-16.35601405,-28.4456056,0.41,-26.78303577,20.58251779,16,34.27798397,,,,0.16,-20.58251779,,,,
-29.14504241,29.14504241,-12.00492587,-16.35683465,-38.33321103,0.35,-23.81884075,28.48317597,0.6666667,35.00813656,,,,0.006666667,-28.48317597,,,,
-29.14504241,29.14504241,-14.39667077,-15.26524072,-30.65464043,0.356666667,-25.50943913,22.20241866,15,34.02068919,,,,0.15,-22.20241866,,,,
-29.14504241,29.14504241,-16.02582977,-16.25847805,-34.76402477,0.316666667,-24.42223054,19.61057727,15,33.30460095,,,,0.15,-19.61057727,,,,
-29.14504241,29.14504241,-13.17043847,-6.246618616,-26.78441631,0.376666667,-24.62957431,31.34095671,1.3333333,31.44429523,,,,0.013333333,-31.34095671,,,,
-29.10663813,29.10663813,-10.70660133,-5.521940926,-45.48953741,0.336666667,-26.16547045,19.93455744,15.3333333,35.8053238,,,,0.153333333,-19.93455744,,,,
-29.10663813,29.10663813,-10.13131435,-15.37360951,-18.17924657,0.473333333,-25.69940948,29.68618637,1.3333333,33.399303,,,,0.013333333,-29.68618637,,,,
-28.49324785,28.49324785,-0.812002498,-16.16453479,-28.03080418,0.453333333,-24.56077359,29.23185395,1.3333333,33.45263195,,,,0.013333333,-29.23185395,,,,
-28.49324785,28.49324785,-7.205915499,5.206211413,-28.73152948,0.466666667,-24.81395374,27.17350767,0.6666667,33.05162848,,,,0.006666667,-27.17350767,,,,
-28.49324785,28.49324785,-7.093869813,-5.353173342,-34.84059137,0.476666667,-24.72794326,30.78253887,2.3333333,33.79669045,,,,0.023333333,-30.78253887,,,,
-28.49324785,28.49324785,-4.326385341,-6.154227349,-14.94262562,0.55,-26.08543672,24.36362198,16,34.84754813,,,,0.16,-24.36362198,,,,
-28.39389195,28.39389195,-8.796064802,2.693198783,-35.05660277,0.376666667,-24.07428024,21.77178059,14.6666667,35.03128735,,,,0.146666667,-21.77178059,,,,
-28.39389195,28.39389195,-6.443083609,-4.637785096,-35.43773983,0.373333333,-21.99980542,23.76899058,16.3333333,35.58122458,,,,0.163333333,-23.76899058,,,,
