defender rewards,defender penalties
[44.75014742 17.26701046 41.24022703  3.04313466],[ 6.27517732 30.15755115 26.96105075 21.521564  ]
iteration,action list,network estimate list,action chosen,opponent action
56,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06194280460476875, -0.06194280460476875, -0.06194280460476875]","[0, 1, 0, 0]","[0, 1, 1, 0]"
57,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06195284426212311, -0.06195284426212311]","[0, 0, 1, 0]","[0, 0, 1, 0]"
58,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.061962854117155075, -0.061962854117155075, -0.061962854117155075, -0.061962854117155075]","[1, 0, 0, 0]","[0, 1, 1, 0]"
59,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.061972856521606445, -0.061972856521606445, -0.061972856521606445]","[0, 1, 0, 0]","[0, 1, 1, 0]"
60,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06198285520076752, -0.06198285520076752]","[0, 0, 1, 0]","[0, 0, 1, 0]"
61,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.061992861330509186, -0.061992861330509186, -0.061992861330509186, -0.061992861330509186]","[1, 0, 0, 0]","[0, 1, 1, 0]"
62,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06200287491083145, -0.06200287491083145, -0.06200287491083145]","[0, 1, 0, 0]","[0, 1, 1, 0]"
63,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062012866139411926, -0.062012866139411926]","[0, 0, 1, 0]","[0, 0, 1, 0]"
64,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062022868543863297, -0.062022868543863297, -0.062022868543863297, -0.062022868543863297]","[1, 0, 0, 0]","[0, 1, 1, 0]"
65,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062032897025346756, -0.062032897025346756, -0.062032897025346756]","[0, 1, 0, 0]","[0, 1, 1, 0]"
66,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062042977660894394, -0.062042977660894394]","[0, 0, 1, 0]","[0, 0, 1, 0]"
67,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062052980065345764, -0.062052980065345764, -0.062052980065345764, -0.062052980065345764]","[1, 0, 0, 0]","[0, 1, 1, 0]"
68,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062063008546829224, -0.062063008546829224, -0.062063008546829224]","[0, 1, 0, 0]","[0, 1, 1, 0]"
69,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06207302212715149, -0.06207302212715149]","[0, 0, 1, 0]","[0, 0, 1, 0]"
70,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06208307668566704, -0.06208307668566704, -0.06208307668566704, -0.06208307668566704]","[1, 0, 0, 0]","[0, 1, 1, 0]"
71,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06209314614534378, -0.06209314614534378, -0.06209314614534378]","[0, 1, 0, 0]","[0, 1, 1, 0]"
72,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06210323050618172, -0.06210323050618172]","[0, 0, 1, 0]","[0, 0, 1, 0]"
73,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06211323291063309, -0.06211323291063309, -0.06211323291063309, -0.06211323291063309]","[1, 0, 0, 0]","[0, 1, 1, 0]"
74,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06212329491972923, -0.06212329491972923, -0.06212329491972923]","[0, 1, 0, 0]","[0, 1, 1, 0]"
75,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0621333010494709, -0.0621333010494709]","[0, 0, 1, 0]","[0, 0, 1, 0]"
76,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06214338168501854, -0.06214338168501854, -0.06214338168501854, -0.06214338168501854]","[1, 0, 0, 0]","[0, 1, 1, 0]"
77,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06215351074934006, -0.06215351074934006, -0.06215351074934006]","[0, 1, 0, 0]","[0, 1, 1, 0]"
78,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06216380000114441, -0.06216380000114441]","[0, 0, 1, 0]","[0, 0, 1, 0]"
79,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062174052000045776, -0.062174052000045776, -0.062174052000045776, -0.062174052000045776]","[1, 0, 0, 0]","[0, 1, 1, 0]"
80,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062184229493141174, -0.062184229493141174, -0.062184229493141174]","[0, 1, 0, 0]","[0, 1, 1, 0]"
81,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062194403260946274, -0.062194403260946274]","[0, 0, 1, 0]","[0, 0, 1, 0]"
82,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06220453232526779, -0.06220453232526779, -0.06220453232526779, -0.06220453232526779]","[1, 0, 0, 0]","[0, 1, 1, 0]"
83,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06221464276313782, -0.06221464276313782, -0.06221464276313782]","[0, 1, 0, 0]","[0, 1, 1, 0]"
84,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06222475692629814, -0.06222475692629814]","[0, 0, 1, 0]","[0, 0, 1, 0]"
85,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06223481148481369, -0.06223481148481369, -0.06223481148481369, -0.06223481148481369]","[1, 0, 0, 0]","[0, 1, 1, 0]"
86,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06224489584565163, -0.06224489584565163, -0.06224489584565163]","[0, 1, 0, 0]","[0, 1, 1, 0]"
87,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06225498765707016, -0.06225498765707016]","[0, 0, 1, 0]","[0, 0, 1, 0]"
88,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062264978885650635, -0.062264978885650635, -0.062264978885650635, -0.062264978885650635]","[1, 0, 0, 0]","[0, 1, 1, 0]"
89,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062274884432554245, -0.062274884432554245, -0.062274884432554245]","[0, 1, 0, 0]","[0, 1, 1, 0]"
90,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06228473410010338, -0.06228473410010338]","[0, 0, 1, 0]","[0, 0, 1, 0]"
91,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06229463964700699, -0.06229463964700699, -0.06229463964700699, -0.06229463964700699]","[1, 0, 0, 0]","[0, 1, 1, 0]"
92,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06230461597442627, -0.06230461597442627, -0.06230461597442627]","[0, 1, 0, 0]","[0, 1, 1, 0]"
93,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062314633280038834, -0.062314633280038834]","[0, 0, 1, 0]","[0, 0, 1, 0]"
94,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06232457980513573, -0.06232457980513573, -0.06232457980513573, -0.06232457980513573]","[1, 0, 0, 0]","[0, 1, 1, 0]"
95,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06233454868197441, -0.06233454868197441, -0.06233454868197441]","[0, 1, 0, 0]","[0, 1, 1, 0]"
96,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06234472617506981, -0.06234472617506981]","[0, 0, 1, 0]","[0, 0, 1, 0]"
97,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06235472112894058, -0.06235472112894058, -0.06235472112894058, -0.06235472112894058]","[1, 0, 0, 0]","[0, 1, 1, 0]"
98,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06236453354358673, -0.06236453354358673, -0.06236453354358673]","[0, 1, 0, 0]","[0, 1, 1, 0]"
99,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06237438693642616, -0.06237438693642616]","[0, 0, 1, 0]","[0, 0, 1, 0]"
100,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06238440051674843, -0.06238440051674843, -0.06238440051674843, -0.06238440051674843]","[1, 0, 0, 0]","[0, 1, 1, 0]"
101,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06239425018429756, -0.06239425018429756, -0.06239425018429756]","[0, 1, 0, 0]","[0, 1, 1, 0]"
102,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0624040924012661, -0.0624040924012661]","[0, 0, 1, 0]","[0, 0, 1, 0]"
103,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06241385638713837, -0.06241385638713837, -0.06241385638713837, -0.06241385638713837]","[1, 0, 0, 0]","[0, 1, 1, 0]"
104,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06242353096604347, -0.06242353096604347, -0.06242353096604347]","[0, 1, 0, 0]","[0, 1, 1, 0]"
105,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06243317201733589, -0.06243317201733589]","[0, 0, 1, 0]","[0, 0, 1, 0]"
106,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06244271248579025, -0.06244271248579025, -0.06244271248579025, -0.06244271248579025]","[1, 0, 0, 0]","[0, 1, 1, 0]"
107,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06245223432779312, -0.06245223432779312, -0.06245223432779312]","[0, 1, 0, 0]","[0, 1, 1, 0]"
108,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062461741268634796, -0.062461741268634796]","[0, 0, 1, 0]","[0, 0, 1, 0]"
109,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06247130408883095, -0.06247130408883095, -0.06247130408883095, -0.06247130408883095]","[1, 0, 0, 0]","[0, 1, 1, 0]"
110,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062480825930833817, -0.062480825930833817, -0.062480825930833817]","[0, 1, 0, 0]","[0, 1, 1, 0]"
111,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06249038130044937, -0.06249038130044937]","[0, 0, 1, 0]","[0, 0, 1, 0]"
112,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06250003725290298, -0.06250003725290298, -0.06250003725290298, -0.06250003725290298]","[1, 0, 0, 0]","[0, 1, 1, 0]"
113,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062509685754776, -0.062509685754776, -0.062509685754776]","[0, 1, 0, 0]","[0, 1, 1, 0]"
114,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06251928955316544, -0.06251928955316544]","[0, 0, 1, 0]","[0, 0, 1, 0]"
115,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0625288188457489, -0.0625288188457489, -0.0625288188457489, -0.0625288188457489]","[1, 0, 0, 0]","[0, 1, 1, 0]"
116,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0625385046005249, -0.0625385046005249, -0.0625385046005249]","[0, 1, 0, 0]","[0, 1, 1, 0]"
117,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06254808604717255, -0.06254808604717255]","[0, 0, 1, 0]","[0, 0, 1, 0]"
118,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06255792826414108, -0.06255792826414108, -0.06255792826414108, -0.06255792826414108]","[1, 0, 0, 0]","[0, 1, 1, 0]"
119,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06256777048110962, -0.06256777048110962, -0.06256777048110962]","[0, 1, 0, 0]","[0, 1, 1, 0]"
120,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06257761269807816, -0.06257761269807816]","[0, 0, 1, 0]","[0, 0, 1, 0]"
121,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06258747726678848, -0.06258747726678848, -0.06258747726678848, -0.06258747726678848]","[1, 0, 0, 0]","[0, 1, 1, 0]"
122,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06259719282388687, -0.06259719282388687, -0.06259719282388687]","[0, 1, 0, 0]","[0, 1, 1, 0]"
123,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06260697543621063, -0.06260697543621063]","[0, 0, 1, 0]","[0, 0, 1, 0]"
124,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06261687725782394, -0.06261687725782394, -0.06261687725782394, -0.06261687725782394]","[1, 0, 0, 0]","[0, 1, 1, 0]"
125,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06262677907943726, -0.06262677907943726, -0.06262677907943726]","[0, 1, 0, 0]","[0, 1, 1, 0]"
126,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06263662874698639, -0.06263662874698639]","[0, 0, 1, 0]","[0, 0, 1, 0]"
127,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06264638155698776, -0.06264638155698776, -0.06264638155698776, -0.06264638155698776]","[1, 0, 0, 0]","[0, 1, 1, 0]"
128,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06265611946582794, -0.06265611946582794, -0.06265611946582794]","[0, 1, 0, 0]","[0, 1, 1, 0]"
129,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06266599148511887, -0.06266599148511887]","[0, 0, 1, 0]","[0, 0, 1, 0]"
130,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06267593055963516, -0.06267593055963516, -0.06267593055963516, -0.06267593055963516]","[1, 0, 0, 0]","[0, 1, 1, 0]"
131,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062686026096344, -0.062686026096344, -0.062686026096344]","[0, 1, 0, 0]","[0, 1, 1, 0]"
132,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06269604712724686, -0.06269604712724686]","[0, 0, 1, 0]","[0, 0, 1, 0]"
133,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06270604580640793, -0.06270604580640793, -0.06270604580640793, -0.06270604580640793]","[1, 0, 0, 0]","[0, 1, 1, 0]"
134,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06271583586931229, -0.06271583586931229, -0.06271583586931229]","[0, 1, 0, 0]","[0, 1, 1, 0]"
135,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0627254843711853, -0.0627254843711853]","[0, 0, 1, 0]","[0, 0, 1, 0]"
