iteration,action list,network estimate list,action chosen
80,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16273047029972076, 0.16273047029972076, 0.16273047029972076]","[0, 1, 0, 0]"
81,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.16222801804542542, 0.16222801804542542]","[0, 0, 1, 0]"
82,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16170790791511536, 0.16170790791511536, 0.16170790791511536, 0.16170790791511536]","[1, 0, 0, 0]"
83,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.161172017455101, 0.161172017455101, 0.161172017455101]","[0, 1, 0, 0]"
84,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.16062146425247192, 0.16062146425247192]","[0, 0, 1, 0]"
85,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16014385223388672, 0.16014385223388672, 0.16014385223388672, 0.16014385223388672]","[1, 0, 0, 0]"
86,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15964500606060028, 0.15964500606060028, 0.15964500606060028]","[0, 1, 0, 0]"
87,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.15912660956382751, 0.15912660956382751]","[0, 0, 1, 0]"
88,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15851286053657532, 0.15851286053657532, 0.15851286053657532, 0.15851286053657532]","[1, 0, 0, 0]"
89,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15797872841358185, 0.15797872841358185, 0.15797872841358185]","[0, 1, 0, 0]"
90,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.15751732885837555, 0.15751732885837555]","[0, 0, 1, 0]"
91,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1571216732263565, 0.1571216732263565, 0.1571216732263565, 0.1571216732263565]","[1, 0, 0, 0]"
92,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1566142588853836, 0.1566142588853836, 0.1566142588853836]","[0, 1, 0, 0]"
93,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1561773717403412, 0.1561773717403412]","[0, 0, 1, 0]"
94,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15571410953998566, 0.15571410953998566, 0.15571410953998566, 0.15571410953998566]","[1, 0, 0, 0]"
95,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15514680743217468, 0.15514680743217468, 0.15514680743217468]","[0, 1, 0, 0]"
96,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.15448947250843048, 0.15448947250843048]","[0, 0, 1, 0]"
97,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1537536382675171, 0.1537536382675171, 0.1537536382675171, 0.1537536382675171]","[1, 0, 0, 0]"
98,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15302330255508423, 0.15302330255508423, 0.15302330255508423]","[0, 1, 0, 0]"
99,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.15238355100154877, 0.15238355100154877]","[0, 0, 1, 0]"
100,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15173877775669098, 0.15173877775669098, 0.15173877775669098, 0.15173877775669098]","[1, 0, 0, 0]"
101,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1511772722005844, 0.1511772722005844, 0.1511772722005844]","[0, 1, 0, 0]"
102,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.15069155395030975, 0.15069155395030975]","[0, 0, 1, 0]"
103,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.15018481016159058, 0.15018481016159058, 0.15018481016159058, 0.15018481016159058]","[1, 0, 0, 0]"
104,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14957807958126068, 0.14957807958126068, 0.14957807958126068]","[0, 1, 0, 0]"
105,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1489630937576294, 0.1489630937576294]","[0, 0, 1, 0]"
106,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14833983778953552, 0.14833983778953552, 0.14833983778953552, 0.14833983778953552]","[1, 0, 0, 0]"
