iteration,action list,network estimate list,action chosen
59,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07089298963546753, -0.07089298963546753, -0.07089298963546753]","[0, 1, 0, 0]"
60,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07189352065324783, -0.07189352065324783]","[0, 0, 1, 0]"
61,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07289526611566544, -0.07289526611566544, -0.07289526611566544, -0.07289526611566544]","[1, 0, 0, 0]"
62,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07389666140079498, -0.07389666140079498, -0.07389666140079498]","[0, 1, 0, 0]"
63,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07489454746246338, -0.07489454746246338]","[0, 0, 1, 0]"
64,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07589712738990784, -0.07589712738990784, -0.07589712738990784, -0.07589712738990784]","[1, 0, 0, 0]"
65,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07690649479627609, -0.07690649479627609, -0.07690649479627609]","[0, 1, 0, 0]"
66,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07791551202535629, -0.07791551202535629]","[0, 0, 1, 0]"
67,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07892236113548279, -0.07892236113548279, -0.07892236113548279, -0.07892236113548279]","[1, 0, 0, 0]"
68,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.07992588728666306, -0.07992588728666306, -0.07992588728666306]","[0, 1, 0, 0]"
69,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08092829585075378, -0.08092829585075378]","[0, 0, 1, 0]"
70,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08193296194076538, -0.08193296194076538, -0.08193296194076538, -0.08193296194076538]","[1, 0, 0, 0]"
71,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08292705565690994, -0.08292705565690994, -0.08292705565690994]","[0, 1, 0, 0]"
72,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.083921417593956, -0.083921417593956]","[0, 0, 1, 0]"
73,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08491935580968857, -0.08491935580968857, -0.08491935580968857, -0.08491935580968857]","[1, 0, 0, 0]"
74,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08590546250343323, -0.08590546250343323, -0.08590546250343323]","[0, 1, 0, 0]"
75,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08689109981060028, -0.08689109981060028]","[0, 0, 1, 0]"
76,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08787985891103745, -0.08787985891103745, -0.08787985891103745, -0.08787985891103745]","[1, 0, 0, 0]"
77,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08885994553565979, -0.08885994553565979, -0.08885994553565979]","[0, 1, 0, 0]"
78,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.08983644843101501, -0.08983644843101501]","[0, 0, 1, 0]"
79,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09081167727708817, -0.09081167727708817, -0.09081167727708817, -0.09081167727708817]","[1, 0, 0, 0]"
80,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09179946035146713, -0.09179946035146713, -0.09179946035146713]","[0, 1, 0, 0]"
81,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09279633313417435, -0.09279633313417435]","[0, 0, 1, 0]"
82,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09380088746547699, -0.09380088746547699, -0.09380088746547699, -0.09380088746547699]","[1, 0, 0, 0]"
83,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09480266273021698, -0.09480266273021698, -0.09480266273021698]","[0, 1, 0, 0]"
84,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09580394625663757, -0.09580394625663757]","[0, 0, 1, 0]"
85,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09679629653692245, -0.09679629653692245, -0.09679629653692245, -0.09679629653692245]","[1, 0, 0, 0]"
86,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09777236729860306, -0.09777236729860306, -0.09777236729860306]","[0, 1, 0, 0]"
87,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09875121712684631, -0.09875121712684631]","[0, 0, 1, 0]"
88,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.09972383081912994, -0.09972383081912994, -0.09972383081912994, -0.09972383081912994]","[1, 0, 0, 0]"
89,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10068903863430023, -0.10068903863430023, -0.10068903863430023]","[0, 1, 0, 0]"
90,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1016688421368599, -0.1016688421368599]","[0, 0, 1, 0]"
91,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10264445841312408, -0.10264445841312408, -0.10264445841312408, -0.10264445841312408]","[1, 0, 0, 0]"
92,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10362950712442398, -0.10362950712442398, -0.10362950712442398]","[0, 1, 0, 0]"
93,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10461214929819107, -0.10461214929819107]","[0, 0, 1, 0]"
94,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10560319572687149, -0.10560319572687149, -0.10560319572687149, -0.10560319572687149]","[1, 0, 0, 0]"
95,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10658673942089081, -0.10658673942089081, -0.10658673942089081]","[0, 1, 0, 0]"
96,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10756368190050125, -0.10756368190050125]","[0, 0, 1, 0]"
97,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1085520014166832, -0.1085520014166832, -0.1085520014166832, -0.1085520014166832]","[1, 0, 0, 0]"
98,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.10953980684280396, -0.10953980684280396, -0.10953980684280396]","[0, 1, 0, 0]"
99,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1105293557047844, -0.1105293557047844]","[0, 0, 1, 0]"
100,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.11151797324419022, -0.11151797324419022, -0.11151797324419022, -0.11151797324419022]","[1, 0, 0, 0]"
101,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.11249931156635284, -0.11249931156635284, -0.11249931156635284]","[0, 1, 0, 0]"
102,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1134856641292572, -0.1134856641292572]","[0, 0, 1, 0]"
103,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1144782155752182, -0.1144782155752182, -0.1144782155752182, -0.1144782155752182]","[1, 0, 0, 0]"
